,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.09.01,2020.08.31,2020.08.28,2020.08.27,2020.08.26,2020.08.25,2020.08.24,2020.08.21,2020.08.20,2020.08.19,2020.08.18,2020.08.14,2020.08.13,2020.08.12,2020.08.11,2020.08.10,2020.08.07,2020.08.06,2020.08.05,2020.08.04,2020.09.01,2020.08.31,2020.08.28,2020.08.27,2020.08.26,2020.08.25,2020.08.24,2020.08.21,2020.08.20,2020.08.19,2020.08.18,2020.08.14,2020.08.13,2020.08.12,2020.08.11,2020.08.10,2020.08.07,2020.08.06,2020.08.05,2020.08.04,2020.09.01,2020.08.31,2020.08.28,2020.08.27,2020.08.26,2020.08.25,2020.08.24,2020.08.21,2020.08.20,2020.08.19,2020.08.18,2020.08.14,2020.08.13,2020.08.12,2020.08.11,2020.08.10,2020.08.07,2020.08.06,2020.08.05,2020.08.04,2020.09.01,2020.08.31,2020.08.28,2020.08.27,2020.08.26,2020.08.25,2020.08.24,2020.08.21,2020.08.20,2020.08.19,2020.08.18,2020.08.14,2020.08.13,2020.08.12,2020.08.11,2020.08.10,2020.08.07,2020.08.06,2020.08.05,2020.08.04
회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
DSR,632,"16,000,000",500,비철금속,'155660,"3,950","3,880","3,950","3,905","3,880",6.8,,0.4,19.25,"2,264","2,360","2,363",,624,584,596,584,603,,139,99,107,,28,28,27,32,38,,110,80,88,,23,25,16,25,29,,6.14,4.2,4.51,,4.51,4.82,4.58,5.4,6.29,,8.15,5.54,5.83,,6.03,6.37,5.83,5.84,6.01,,62.04,52.59,54.77,,51.73,48.81,54.77,51.37,55.93,,692,494,546,,146,154,95,161,172,,7.47,8.07,8.4,,9.12,7,8.4,5.31,6.53,,"8,721","9,127","9,613",,"9,424","9,583","9,613","9,740","9,925",,0.59,0.44,0.48,,0.54,0.43,0.48,0.3,0.38,,"3,950","3,880","3,940","3,965","4,040","4,000","3,810","3,760","3,690","3,945","3,855","4,190","4,040","3,940","3,995","3,975","3,915","3,980","3,970","4,005","22,165","46,563","51,972","44,011","64,825","338,538","59,669","37,574","142,752","111,563","299,215","933,705","73,515","38,848","38,778","75,044","27,581","41,349","41,768","27,322","-1,391",-26,"-2,116",122,-9,"-34,732",-37,-10,"-27,743","-18,028","-19,898","-77,331",-80,-105,"-5,730",-158,-55,-104,-246,-252,-124,"3,324","-1,904","-1,429","3,461",749,-955,"-6,626","-2,486","2,073","-11,504","-10,138","13,441","-1,509","2,367",66,"-9,980","-7,862","-5,189","5,737"
GS,30337,"92,915,378","5,000",석유와가스,'078930,"32,650","32,500","32,800","32,550","32,400",N/A,-178,0.37,-11.29,"155,801","177,444","177,861","166,437","45,081","45,234","43,359","41,961","36,655","44,209","20,408","22,098","20,331","9,704","4,878","5,511","4,815",95,"1,573","3,774","10,919","10,305","6,689",644,"2,013","2,436",183,"-2,952",95,"1,852",13.1,12.45,11.43,5.83,10.82,12.18,11.11,0.22,4.29,8.54,13.42,11.14,6.26,-0.2,9.6,8.11,6.26,0.58,-1.34,,127.72,115.02,124.91,,127.3,120.22,124.91,132.09,127.32,,"10,414","9,537","5,744",-183,"1,691","2,183",213,"-3,571",-34,"2,107",5.97,5.41,8.98,-177.73,6.04,6.8,8.98,71.32,-29.97,15.42,"81,650","89,680","93,771","92,047","91,996","94,731","93,771","89,099","88,522",,0.76,0.58,0.55,0.35,0.56,0.53,0.55,0.41,0.41,,"32,650","32,500","33,250","32,850","33,200","33,200","32,500","32,900","33,000","34,850","34,550","35,950","35,850","36,150","35,500","35,000","35,600","35,300","35,250","34,800","191,599","414,193","216,242","291,530","255,479","411,729","333,247","393,710","538,532","291,927","501,111","372,956","480,465","568,532","697,120","552,855","480,115","450,476","362,971","219,579","-14,419","-32,654","-2,424","-73,516","-73,232","-150,781","-82,523","-151,159","-130,938","-82,411","-18,327","-59,533","-74,735","-50,929","-81,799","-184,246","-104,187","-163,503","-120,537","-61,990","-33,337","-136,370","1,980","-12,624","-7,754","61,259","-24,331","2,258","-117,223","-29,739","-173,146","-14,173","3,389","59,772","-56,981","-50,090","108,887","83,968","100,148","71,020"
GS글로벌,1366,"82,533,764","2,500",무역회사와판매업체,'001250,"1,655","1,625","1,655","1,630","1,605",N/A,,0.37,6.91,"33,874","40,585","38,894",,"11,137","9,126","8,199","8,682","6,639",,480,561,583,,177,131,122,195,143,,225,211,-167,,64,29,-349,83,78,,1.42,1.38,1.5,,1.59,1.44,1.49,2.25,2.15,,6.22,5.48,-4.61,,5.64,4.77,-4.61,-4.66,-4.26,,260.58,231.44,217.23,,224.3,210.36,217.23,234.68,201.61,,256,249,-207,,77,36,-424,98,94,,10.9,9.9,-10.72,,10.69,10.62,-10.72,-5.87,-8.4,,"4,454","4,638","4,353",,"4,727","4,778","4,353","4,401","4,476",,0.63,0.53,0.51,,0.59,0.5,0.51,0.28,0.37,,"1,655","1,625","1,610","1,600","1,635","1,655","1,630","1,630","1,580","1,730","1,725","1,830","1,800","1,845","1,730","1,720","1,720","1,735","1,700","1,700","165,911","206,490","186,196","288,101","293,373","340,297","328,089","285,620","952,465","260,701","629,424","562,680","987,477","2,387,886","352,171","224,650","237,223","540,659","224,332","233,268",-402,-89,-617,2,13,-44,-26,360,"-1,172",27,-841,-201,"-1,644",-673,"-5,557",356,-521,-970,-271,-741,"2,386","27,889","-2,160","-48,551","-10,428","-13,500","-35,450","-1,787","-38,828",-441,"-112,613","26,700","-116,471","121,922","45,680","4,935","-35,292","46,232","3,959","56,219"
HDC현대산업개발,16839,"65,907,330","5,000",건설,'294870,"25,550","23,000","26,250","23,450","23,150",3.62,5,0.62,6.45,,"27,927","42,165","38,004","14,492","8,714","10,149","10,067","9,569","9,154",,"3,179","5,515","4,720","1,958",938,"1,604","1,373","1,473",985,,"2,299","4,137","3,395","1,507",756,"1,017","1,049","1,011",658,,11.38,13.08,12.42,13.51,10.76,15.8,13.64,15.39,10.76,,,20.3,13.7,20.77,19.43,20.3,19.07,16,,,163.69,97.58,,114.62,109.57,97.58,102.83,112.39,,,"6,848","8,239","5,543","3,002","1,506","2,026","1,976","1,535","1,067",,6.53,2.89,4.15,5.2,4.03,2.89,1.83,2.99,21.56,,"36,740","44,456","41,330","40,976","42,475","44,456","39,950","41,489",,,1.22,0.53,0.56,0.98,0.72,0.53,0.39,0.51,,"25,550","23,000","21,850","20,800","21,900","20,700","20,150","20,250","20,000","20,700","20,200","21,700","22,250","22,700","22,400","22,800","23,800","24,050","24,000","22,450","3,928,897","1,983,951","1,245,024","951,466","1,539,552","439,416","301,970","403,946","721,852","457,722","1,228,206","920,170","908,657","925,127","1,060,097","1,354,615","747,972","1,527,800","3,131,193","2,642,411","332,739","214,256","-6,457","-103,390","-31,016","-33,871","-10,459","-13,768","-34,306","-14,924","-194,025","-16,248","-20,596","-47,194","-63,048","-98,741","17,202",53,"15,797","197,160","107,312","242,044","118,789","-26,127","41,297","-6,968","-48,917","-28,218","-44,820","-48,305","-200,222","-31,402","-72,553","62,450","-117,713","-43,531","-134,031","-264,929","160,026","265,951"
LG이노텍,36329,"23,667,107","5,000",전자장비와기기,'011070,"153,500","145,000","154,500","145,500","141,500",15.89,11,1.58,30.75,"76,414","79,821","83,021","90,281","15,223","24,459","29,652","20,109","15,399","19,904","2,965","2,635","4,031","5,873",188,"1,865","2,093","1,380",429,"1,073","1,748","1,631","1,023","3,381",-52,"1,250",155,806,76,"1,238",3.88,3.3,4.86,6.5,1.23,7.63,7.06,6.86,2.79,5.39,9.37,8.02,4.73,14.34,5.87,7.07,4.73,9.85,10.46,,201.29,171.74,161.76,,168.98,187.53,161.76,150.9,150.23,,"7,385","6,891","4,323","14,372",-218,"5,281",654,"3,404",321,"2,867",19.5,12.54,32.39,10.09,21.72,17.98,32.39,12.5,18.06,50.57,"82,435","89,511","93,161","107,285","87,789","93,290","93,161","96,977","96,917",,1.75,0.97,1.5,1.35,1.24,1.22,1.5,1.18,1.8,,"153,500","145,000","147,000","146,500","149,500","152,000","155,000","146,500","145,000","154,500","154,500","163,500","166,000","161,500","160,000","160,500","165,000","163,000","163,000","167,000","315,241","128,873","101,248","114,677","177,660","267,834","228,720","171,356","325,065","153,435","418,830","169,898","438,222","192,240","195,262","321,918","264,314","182,359","253,805","192,571","91,074","-14,070","-12,614","-10,206","-53,519","-58,523","75,909","6,088","-34,097","-12,222","-29,747","10,777","86,109","-16,057","-1,334","-103,601","-16,511","-48,238","-97,010","12,622","-3,649","-8,947","-3,361","3,203","21,403","-25,586","-19,542","-7,119","-30,656","5,736","-51,165","-5,311","60,550","28,621","19,078","-43,565","86,717","11,346","-17,505","21,684"
LG전자,143519,"163,647,814","5,000",전자제품,'066570,"87,700","84,200","87,900","85,100","84,700",35.19,11,1.04,41.53,"613,963","613,417","623,062","605,457","156,293","157,006","160,612","147,278","128,338","156,655","24,685","27,033","24,361","26,683","6,522","7,815","1,018","10,904","4,954","6,673","18,695","14,728","1,799","16,208","1,060","3,457","-8,497","10,867",656,"3,170",4.02,4.41,3.91,4.41,4.17,4.98,0.63,7.4,3.86,4.26,13.69,9.03,0.22,9.84,6.16,4.94,0.22,3.23,2.98,,180.92,171.84,173.12,,168.31,170.5,173.12,162.04,157.91,,"9,543","6,858",173,"8,156",507,"1,350","-4,841","5,671",312,"1,806",11.11,9.08,416.75,10.32,15.89,16.55,416.75,17.94,25.36,46.63,"73,441","79,156","79,582","86,825","83,454","85,198","79,582","84,434","84,382",,1.44,0.79,0.91,0.97,0.95,0.79,0.91,0.57,0.75,,"87,700","84,200","85,900","86,200","87,900","90,300","90,600","90,300","84,900","85,000","84,000","88,700","87,000","87,300","83,000","85,700","77,200","77,200","78,300","77,900","1,084,194","1,388,783","954,228","1,330,067","1,571,474","1,161,120","1,265,081","2,978,055","1,424,255","1,316,003","1,462,971","1,669,303","1,950,559","2,704,977","1,684,857","3,706,582","759,800","899,941","1,197,933","1,738,014","233,702","117,034","-110,854","-346,225","-421,032","11,253","226,323","468,406","141,090","4,133","-3,327","79,557","11,251","192,749","-104,067","601,645","-107,806","98,514","7,258","253,431","-72,951","-322,811","14,082","283,913","-4,139","2,097","-94,420","325,349","73,564","210,769","64,802","84,761","56,157","296,522","-112,735","340,517","95,257","-16,725","219,113","307,707"
LG헬로비전,3032,"77,446,865","2,500",방송과엔터테인먼트,'037560,"3,915","3,915","3,935","3,915","3,890",N/A,12,0.32,-29.19,"11,199","11,780","11,122","10,828","2,854","2,734","2,778","2,589","2,701","2,753",729,672,292,429,96,40,26,75,95,114,289,391,-942,250,42,-28,"-1,031",43,58,,6.51,5.71,2.63,3.96,3.38,1.47,0.94,2.88,3.52,4.13,2.96,,-9.4,2.61,3.41,1.89,-9.4,-9.7,-9.49,,89.25,84,88.23,,89.46,78.38,88.23,93.29,92.84,,373,505,"-1,217",323,54,-36,"-1,332",55,75,73,19.04,18.14,-4.97,12.1,14.9,24.29,-4.97,-2.44,-3.22,53.82,"12,746","13,593","12,283","12,528","13,753","13,717","12,283","12,263","12,338",,0.56,0.67,0.49,0.31,0.5,0.46,0.49,0.25,0.32,,"3,915","3,915","3,950","3,970","4,000","3,960","3,895","3,890","3,820","4,055","4,040","4,240","4,395","4,070","4,065","4,005","4,015","4,005","3,995","4,035","180,729","262,195","122,509","164,125","198,566","86,199","162,467","140,545","539,287","306,761","345,309","547,916","1,176,092","140,652","295,118","218,451","120,229","104,162","100,862","116,941","2,919","6,700","-12,497",-956,"1,376","-4,157","-14,901","-5,197","-7,285","-5,084",-657,"-3,891","-7,380","1,323","-7,182",-181,-492,403,"-2,775","1,463","-98,983","-60,339","-8,154","-8,519","-24,021","15,254","30,124","5,490","-90,140","-75,862","-15,730","-72,460",-846,"6,357","86,494","12,365","9,810","4,410","-32,323","38,952"
OCI,15478,"23,849,371","5,000",화학,'010060,"64,900","64,700","65,200","64,700","63,100",N/A,-17,0.6,77.78,"36,316","31,121","26,051","20,410","6,539","6,708","6,387","5,686","4,016","5,330","2,844","1,587","-1,806","-1,227",-199,-564,-642,-929,-443,-20,"2,326","1,038","-8,074",-970,-390,-669,"-6,607",-579,-382,,7.83,5.1,-6.93,-6.01,-3.04,-8.41,-10.05,-16.34,-11.02,-0.37,7.17,3.06,-26.2,-3.62,-3.62,-5.77,-26.2,-27.03,-27.38,,77.94,62.05,79.14,,63.23,60.76,79.14,80.05,75.74,,"9,849","4,352","-33,308","-3,926","-1,598","-2,716","-27,339","-2,349","-1,544",-158,13.81,24.59,-1.88,-16.48,-17.91,-8.44,-1.88,-1.02,-1.09,-409.66,"140,563","143,796","110,515","107,559","140,920","139,253","110,515","109,712","107,967",,0.97,0.74,0.57,0.6,0.66,0.5,0.57,0.32,0.34,,"64,900","64,700","63,100","63,900","68,700","68,200","68,300","61,200","59,700","60,600","56,400","60,900","63,000","65,600","63,500","64,800","61,400","61,200","64,100","57,000","257,657","674,724","507,129","831,801","763,158","994,317","1,882,621","478,539","688,488","690,872","502,935","332,265","661,956","591,550","483,933","1,036,574","552,409","840,966","2,991,692","544,493","-40,572","84,850","-12,646","-102,040","52,548","90,418","286,564","59,276","-38,382","16,004","-23,193","-8,687","-30,141","38,857","23,294","69,645","19,036","-28,746","277,423","70,955","-13,489","-41,428","-56,193","-56,804","-16,692","-28,080","155,054","15,304","-50,022","30,466","35,015","3,452","-77,907","-11,045","-58,760","69,343","-99,930","-75,925","3,141","-21,690"
S&TC;,1134,"7,506,711",500,기계,'100840,"15,100","15,100","15,150","15,100","14,900",5.86,,0.42,-37.69,"1,841","1,395","2,133",,600,713,488,561,641,,192,-19,175,,66,70,18,61,75,,46,19,155,,74,60,-13,109,38,,10.43,-1.36,8.19,,11.06,9.8,3.7,10.82,11.76,,1.98,0.83,,,,,,,7.84,,28.42,21.5,36.31,,31.37,31.38,36.31,34.41,38.9,,610,255,"2,058",,992,795,-169,"1,447",504,,25.67,43.26,9.62,,,,,4.34,5.98,,"31,148","32,133","34,051",,"33,703","34,296","34,051","35,168","36,017",,0.5,0.34,0.58,,0.44,0.49,0.58,0.38,0.43,,"15,100","15,100","15,100","15,050","15,100","15,300","15,300","15,150","14,600","15,100","14,750","15,300","15,350","15,150","15,200","15,250","15,350","15,300","15,650","15,300","9,290","26,290","12,350","30,917","48,095","47,383","27,643","38,710","28,092","17,447","17,119","15,174","22,556","13,058","19,201","16,951","14,535","19,818","20,824","14,907","-2,120",850,112,"17,513","10,145","-12,013","11,098","19,366","6,787","9,138","-2,329",-416,"-3,473","-3,544","-10,379","-3,936",-321,"-10,939","-4,355","-3,042","-1,264",-521,"3,060","-4,445","-4,369","5,793","1,138","2,370","-2,636","-1,300","-4,446",-835,"6,324",461,917,756,-278,"-1,288",322,-899
